RealImpedance_mOhm,ImagImpedance_mOhm
755.8176,117.2382
754.6017,117.1556
556.5816,117.9463
591.3613,115.9382
624.8738,114.1634
654.2687,114.1079
682.4339,114.8092
710.1946,115.6484
735.0729,116.7286
601.3230,114.1200
779.4259,119.6059
0.0000,0.0000
29899398719019284698106275754980742931365966796875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000,0.0000
29899398719019284698106275754980742931365966796875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000,0.0000
29899398719019284698106275754980742931365966796875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000,0.0000
29899398719019284698106275754980742931365966796875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000,0.0000
29899398719019284698106275754980742931365966796875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000,0.0000
29899398719019284698106275754980742931365966796875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000,0.0000
29899398719019284698106275754980742931365966796875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.0000,0.0000
